epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2927.65,2.01221,2.83479,0.01131,0.45409,0.3197,0.28471,0.21618,1.78251,2.167,0.01556,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327
2,5439.3,1.77072,2.14356,0.00958,0.52521,0.37226,0.35522,0.27406,1.6467,1.97624,0.0146,0.0193382,0.00644605,0.0193382,0.00644605,0.0193382,0.00644605,0.0193382,0.00644605
3,7762.43,1.74661,2.05379,0.00947,0.48432,0.4086,0.38283,0.29831,1.59159,1.8927,0.01405,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941
4,9917.29,1.71719,2.01214,0.00925,0.49852,0.42574,0.4065,0.32355,1.51478,1.81814,0.01329,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,12288,1.6613,2.00571,0.00888,0.51516,0.38193,0.3801,0.30737,1.55641,2.2618,0.01354,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,14547,1.6959,3.12527,0.00922,0.00026,0,0.0002,2e-05,3.98215,4.28768,0.05862,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,16752.9,2.15854,6.31364,0.01349,6e-05,0.00666,3e-05,1e-05,4.64436,5.59077,0.06256,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,19135,2.90688,8.11366,0.0206,0.00012,0.00216,6e-05,2e-05,4.48104,4.75939,0.05857,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,21455,3.63637,26.9003,0.03119,0.00012,0.00731,7e-05,2e-05,4.32719,6.3578,0.0573,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,23753.1,4.13269,72.1579,0.05155,1e-05,0.00017,1e-05,0,4.53081,10.6768,0.06728,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,26118.5,4.32116,73.8149,0.06267,6e-05,0.0066,4e-05,1e-05,4.84545,15.788,0.10054,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,28223.1,4.31301,44.2999,0.05464,5e-05,0.00566,3e-05,1e-05,4.89911,22.4849,0.11163,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,30461.4,4.42712,83.9968,0.06613,6e-05,0.00562,4e-05,1e-05,4.81675,33.5672,0.11862,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,32708.4,4.61483,133.107,0.0842,0,0,0,0,4.82457,49.2757,0.14843,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
