epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1717.08,1.72063,2.24942,1.40323,0.50842,0.38248,0.34051,0.25696,1.64881,1.84887,1.40569,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327
2,3242.98,1.49645,1.77695,1.27555,0.55081,0.39262,0.38613,0.29744,1.50874,1.7037,1.32047,0.0193382,0.00644605,0.0193382,0.00644605,0.0193382,0.00644605,0.0193382,0.00644605
3,4602.79,1.45443,1.70252,1.25677,0.45722,0.44496,0.40127,0.31854,1.43721,1.61854,1.29721,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941
4,5939.59,1.39504,1.63618,1.23648,0.49256,0.42141,0.4146,0.32995,1.36919,1.55761,1.26608,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,7349.89,1.32906,1.56835,1.20995,0.58491,0.43642,0.43201,0.34709,1.33126,1.50179,1.24278,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,8675.61,1.28845,1.52404,1.19432,0.51201,0.46342,0.44756,0.36236,1.29721,1.46356,1.2261,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,10036.5,1.26416,1.49398,1.1841,0.49682,0.47952,0.45352,0.37041,1.27565,1.44249,1.21517,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,11466.4,1.2454,1.47071,1.17389,0.5143,0.48786,0.45904,0.37475,1.25815,1.42647,1.2062,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,12985.3,1.23073,1.45328,1.16848,0.53172,0.48793,0.46346,0.37838,1.24641,1.41076,1.20045,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,17580.3,1.2168,1.43482,1.16155,0.52366,0.49397,0.46647,0.38127,1.2375,1.40177,1.19682,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,19681.8,1.20513,1.42182,1.15572,0.52461,0.49604,0.4691,0.38436,1.23298,1.39544,1.19435,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,21269.8,1.19493,1.41073,1.15216,0.52767,0.49769,0.47179,0.38648,1.2276,1.38893,1.19149,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,23547.1,1.18494,1.4001,1.1486,0.53262,0.49583,0.47395,0.38861,1.22292,1.3843,1.18881,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,25017.8,1.17807,1.38947,1.14432,0.53229,0.49583,0.47555,0.39028,1.21914,1.37988,1.18694,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,26424.4,1.16994,1.38132,1.14123,0.53475,0.50105,0.47772,0.3922,1.21534,1.37563,1.18476,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,27827.8,1.15969,1.36972,1.13658,0.53462,0.50312,0.47909,0.39341,1.21172,1.37178,1.18252,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
